loc_key,zh_cn,comment
act_boil.name,煮,
act_cut.name,切割,
act_no_process.name,直接放入,
act_stew.name,炖,
act_stirfry.name,翻炒,
act_wash.name,摘洗,
act_whisk.name,搅拌,
ing_cabbage.flavor,开水白菜的排面担当,
ing_cabbage.name,白菜心,
ing_egg.flavor,平平无奇，但谁也离不开它,
ing_egg.name,鸡蛋,
ing_giant_egg.flavor,一颗顶三颗，农场直送的自信,
ing_giant_egg.name,超级有机农场巨蛋,
ing_ham_sausage.flavor,五连装，掰一根少一根,
ing_ham_sausage.name,好吃的金锣王,
ing_milk_box.flavor,开盒后请尽快喝完,
ing_milk_box.name,牛奶（盒）,
ing_noodle_dried.flavor,抱成一捆才有安全感的面条们,
ing_noodle_dried.name,一把挂面,
ing_noodle_instant.flavor,长了脚也逃不掉被煮的命运,
ing_noodle_instant.name,泡面饼,
ing_octopus_leg.flavor,不知道本体去哪了，只剩一条,
ing_octopus_leg.name,章鱼脚,
ing_scallion.flavor,撒上就香，不撒就差点意思,
ing_scallion.name,小葱,
ing_tomato.flavor,巨好吃爽茄，本茄认证,
ing_tomato.name,番茄,
prd_cabbage_washed.name,摘好的白菜心,
prd_clear_broth.name,清亮高汤,
prd_egg_liquid.name,蛋液,
prd_kaishui_dish.name,开水白菜,
prd_unknown.name,不明物体,
prd_unknown.flavor,……这是什么？,
prd_noodle_boiled.name,煮好的面,
prd_qingtang_dish.name,清汤面,
prd_scrambled_egg.name,炒好的蛋,
prd_tomato_cut.name,切好的番茄,
prd_tomato_egg_dish.name,番茄炒蛋,
prd_tomato_egg_soup.name,番茄蛋花汤,
rcp_kaishui_cabbage.name,开水白菜,
rcp_qingtang_noodle.name,清汤面,
rcp_tomato_egg.name,番茄炒蛋,
step_kc_01.text,白菜心摘好洗干净,
step_kc_02.text,慢慢炖一锅清汤,
step_kc_03.text,白菜汆一下，浇上汤,
step_qt_01.text,水开了就把面丢进去,
step_qt_02.text,撒把葱花加点盐，出锅,
step_te_01.text,把蛋打成蛋液,
step_te_02.text,番茄切成小块,
step_te_03.text,热油下锅先炒蛋,
step_te_04.text,番茄下锅一起炒，加盐,
stp_oil.flavor,热锅冷油,
stp_oil.name,食用油,
stp_salt.flavor,咸味的来源,
stp_salt.name,盐,
stp_water.flavor,无限供应,
stp_water.name,清水,
tag_dairy.name,奶类,
tag_dish_boil.name,煮,
tag_dish_deepfry.name,炸,
tag_dish_stew.name,炖,
tag_dish_stirfry.name,炒,
tag_egg.name,蛋类,
tag_flavor_confused.name,吃不懂,
tag_flavor_easy.name,简单好做,
tag_flavor_fancy.name,看着就贵,
tag_flavor_spicy.name,辣爪,
tag_flavor_yummy.name,真滴很香,
tag_fruit.name,水果,
tag_meat.name,肉类,
tag_seafood.name,海鲜,
tag_staplefood.name,主食,
tag_veg.name,蔬菜,
tool_board.name,案板,
tool_board_station.name,砧板台,
tool_bowl.name,碗,
tool_chopsticks.name,筷子,
tool_freezer.name,小冰柜,
tool_hand.name,手,
tool_knife.name,菜刀,
tool_oven.name,烤箱,
tool_pan.name,炒锅,
tool_pot.name,汤锅,
tool_salad_station.name,沙拉台,
tool_scissors.name,剪刀,
tool_spatula.name,锅铲,
tool_stove.name,灶台,
ui_cook_pending_feature.text,请期待正式版,厨具配置占位弹窗
ui_p0_catalog_tab.text,目录,目录页签
ui_p0_current_recipe_tab.text,当前,文案待最终人工对齐
ui_p0_escape.text,ESC,去除消费端硬编码
ui_p0_favorite.text,收藏,星标悬停
ui_p0_ingredient_list_header.text,所需食材,文案待最终人工对齐
ui_p0_start_cooking.text,开始做饭,"字图优先，TMP 回退"
ui_p1_clueboard_tips.text,"TIPS：人被杀就会死
不知道怎么办的话：不妨尝试先放空大脑吧。",参考图原文；文案待最终人工对齐
ui_p1_return.text,返回,箭头悬停/无图回退
var_kaishui_std.name,开水白菜,
var_qingtang_std.name,清汤面,
var_tomato_egg_soup.name,番茄蛋花汤,
var_tomato_egg_std.name,番茄炒蛋,
